epoch,train_loss,val_loss,val_accuracy,lr
1,0.108416,0.040948,0.987533,1.00e-03
2,0.026668,0.026511,0.991311,1.00e-03
3,0.022441,0.019704,0.994522,1.00e-03
4,0.021699,0.010865,0.996600,1.00e-03
5,0.016338,0.008316,0.998111,1.00e-03
6,0.014838,0.012172,0.996033,1.00e-03
7,0.013251,0.006746,0.998300,1.00e-03
8,0.012338,0.005799,0.998111,1.00e-03
9,0.013304,0.009532,0.998300,1.00e-03
10,0.013358,0.004968,0.998489,1.00e-03
11,0.013668,0.026585,0.992255,1.00e-03
12,0.010711,0.013822,0.995655,1.00e-03
13,0.010574,0.005428,0.998489,1.00e-03
14,0.011479,0.010439,0.996411,1.00e-03
15,0.008692,0.007132,0.997544,1.00e-03
16,0.010985,0.023733,0.992633,1.00e-03
17,0.005080,0.006022,0.998300,5.00e-04
18,0.003844,0.007609,0.996411,5.00e-04
19,0.004043,0.003784,0.998867,5.00e-04
20,0.003937,0.002646,0.998867,5.00e-04
